id,name,email,course,grade,gpa,enrollment_date,department,year
11212,Mr. Ena Toy,mr.enatoy@university.edu,Chemistry,B+,2.7599999999999997868371792719699442386627197265625,2025-10-01,Medicine,1
11213,Albert Schiller,albertschiller@university.edu,History,B-,3.399999999999999911182158029987476766109466552734375,2023-09-24,Engineering,3
11214,Sebastian Hammes,sebastianhammes@university.edu,Economics,F,3.439999999999999946709294817992486059665679931640625,2026-02-08,Science,3
11215,Clement Douglas,clementdouglas@university.edu,Mathematics,B+,2,2026-08-03,Science,4
11216,Elodia Weimann,elodiaweimann@university.edu,CS,F,0.63000000000000000444089209850062616169452667236328125,2023-08-04,Arts,1
11217,Miss Bryce Cartwright,missbrycecartwright@university.edu,Physics,A-,2.37999999999999989341858963598497211933135986328125,2023-11-20,Science,2
11218,Merlin Brekke,merlinbrekke@university.edu,Economics,C+,2.729999999999999982236431605997495353221893310546875,2022-12-05,Law,4
11219,Dan Cummings II,dancummingsii@university.edu,Economics,C-,1.9899999999999999911182158029987476766109466552734375,2024-02-06,Medicine,2
11220,Ayanna O'Connell V,ayannaoconnellv@university.edu,Economics,A+,2.6699999999999999289457264239899814128875732421875,2023-02-28,Business,3
11221,Ahmad Rutherford MD,ahmadrutherfordmd@university.edu,CS,A+,2.939999999999999946709294817992486059665679931640625,2026-04-20,Engineering,1
11222,Breanne Hettinger,breannehettinger@university.edu,Physics,D,0.770000000000000017763568394002504646778106689453125,2026-08-17,Business,3
11223,Norine Labadie,norinelabadie@university.edu,Biology,B+,2.45999999999999996447286321199499070644378662109375,2024-03-10,Engineering,3
11224,Stephen Champlin,stephenchamplin@university.edu,Biology,B-,3.2400000000000002131628207280300557613372802734375,2023-06-26,Science,1
11225,Rodney Schoen,rodneyschoen@university.edu,Economics,F,3.439999999999999946709294817992486059665679931640625,2024-11-04,Medicine,2
11226,Mrs. Osvaldo Shanahan,mrs.osvaldoshanahan@university.edu,Mathematics,A+,3.0099999999999997868371792719699442386627197265625,2025-04-30,Business,1
11227,Mohammad Will,mohammadwill@university.edu,Physics,A-,0.11000000000000000055511151231257827021181583404541015625,2026-02-24,Law,3
11228,Wilhemina Lakin Sr.,wilheminalakinsr.@university.edu,History,F,1.2800000000000000266453525910037569701671600341796875,2025-07-31,Engineering,1
11229,Darla Stokes Jr.,darlastokesjr.@university.edu,Physics,A,1.45999999999999996447286321199499070644378662109375,2023-10-23,Engineering,1
11230,Lance Will,lancewill@university.edu,Chemistry,B-,2.9900000000000002131628207280300557613372802734375,2025-01-03,Science,3
11231,Mrs. Hershel Howell,mrs.hershelhowell@university.edu,Biology,A,1.6100000000000000976996261670137755572795867919921875,2024-07-07,Business,3
11232,Darrin O'Reilly,darrinoreilly@university.edu,Mathematics,C-,0.82999999999999996003197111349436454474925994873046875,2025-08-27,Science,3
11233,Jerry Wilkinson,jerrywilkinson@university.edu,CS,A,2.020000000000000017763568394002504646778106689453125,2025-07-02,Law,4
11234,Tam Hill MD,tamhillmd@university.edu,Physics,C,3.0099999999999997868371792719699442386627197265625,2024-03-17,Business,2
11235,Yuonne Gleichner,yuonnegleichner@university.edu,History,A,0.770000000000000017763568394002504646778106689453125,2026-08-03,Arts,4
11236,Zoe Wisoky,zoewisoky@university.edu,History,B,3.20000000000000017763568394002504646778106689453125,2023-01-02,Business,1
11237,Janie Witting V,janiewittingv@university.edu,History,F,3.189999999999999946709294817992486059665679931640625,2023-01-26,Engineering,4
11238,Tama Bartoletti PhD,tamabartolettiphd@university.edu,Mathematics,B-,2.54000000000000003552713678800500929355621337890625,2024-09-07,Engineering,2
11239,Mr. Margot Steuber,mr.margotsteuber@university.edu,Chemistry,A,1.4199999999999999289457264239899814128875732421875,2023-06-18,Arts,1
11240,Evan Durgan,evandurgan@university.edu,Mathematics,C,2.819999999999999840127884453977458178997039794921875,2023-12-24,Business,4
11241,Vernie Schuster,vernieschuster@university.edu,Biology,A+,0.2200000000000000011102230246251565404236316680908203125,2025-05-11,Arts,2
11242,Jenifer McKenzie,jenifermckenzie@university.edu,History,C,0.01000000000000000020816681711721685132943093776702880859375,2023-09-27,Engineering,4
11243,Rudolph Rempel,rudolphrempel@university.edu,Biology,B+,2.62999999999999989341858963598497211933135986328125,2023-02-26,Science,3
11244,Dwain Rippin,dwainrippin@university.edu,English,F,1.520000000000000017763568394002504646778106689453125,2023-07-06,Science,2
11245,Mrs. Faustino Kling,mrs.faustinokling@university.edu,CS,C+,0.8000000000000000444089209850062616169452667236328125,2025-02-20,Science,3
11246,Dr. Ivonne Flatley,dr.ivonneflatley@university.edu,History,C+,1.8400000000000000799360577730112709105014801025390625,2024-02-15,Engineering,2
11247,Edmundo Cassin,edmundocassin@university.edu,Chemistry,C,3.069999999999999840127884453977458178997039794921875,2023-05-28,Arts,1
11248,Dorthey Miller,dortheymiller@university.edu,English,C+,1.37000000000000010658141036401502788066864013671875,2026-04-22,Law,1
11249,Dr. Evan Dibbert,dr.evandibbert@university.edu,Biology,F,0.64000000000000001332267629550187848508358001708984375,2022-11-03,Law,2
11250,Raleigh Kirlin,raleighkirlin@university.edu,Chemistry,B,0.7800000000000000266453525910037569701671600341796875,2025-08-24,Science,4
11251,Cheryle O'Keefe,cheryleokeefe@university.edu,Mathematics,A-,1.0500000000000000444089209850062616169452667236328125,2026-02-21,Arts,3
11252,Judson Parker,judsonparker@university.edu,Mathematics,C+,1.3600000000000000976996261670137755572795867919921875,2024-12-23,Science,1
11253,Xavier Lehner,xavierlehner@university.edu,Biology,B+,3.95999999999999996447286321199499070644378662109375,2023-08-28,Science,1
11254,Valentine Feil,valentinefeil@university.edu,History,A+,2.339999999999999857891452847979962825775146484375,2025-01-10,Medicine,1
11255,Devorah Davis,devorahdavis@university.edu,History,F,0.88000000000000000444089209850062616169452667236328125,2023-01-19,Law,2
11256,Mohammad Hirthe,mohammadhirthe@university.edu,Physics,A-,1.6999999999999999555910790149937383830547332763671875,2023-06-26,Arts,2
11257,Mason Lakin,masonlakin@university.edu,Mathematics,F,3.520000000000000017763568394002504646778106689453125,2026-04-15,Medicine,1
11258,Christiana Shanahan MD,christianashanahanmd@university.edu,English,B,3.439999999999999946709294817992486059665679931640625,2023-12-23,Science,2
11259,Johnnie Kuhn I,johnniekuhni@university.edu,Biology,B-,3.8300000000000000710542735760100185871124267578125,2023-08-27,Medicine,1
11260,Velma Rogahn,velmarogahn@university.edu,Chemistry,C-,3.95999999999999996447286321199499070644378662109375,2026-09-16,Engineering,2
11261,Emil Beatty,emilbeatty@university.edu,CS,B,1.270000000000000017763568394002504646778106689453125,2026-09-02,Medicine,2
11262,Roman Cruickshank II,romancruickshankii@university.edu,Economics,C-,2.180000000000000159872115546022541821002960205078125,2023-05-30,Medicine,3
11263,Fabian Ziemann,fabianziemann@university.edu,Chemistry,B+,3.529999999999999804600747665972448885440826416015625,2022-11-28,Law,3
11264,Ms. Deidre Corkery,ms.deidrecorkery@university.edu,Physics,C+,0.39000000000000001332267629550187848508358001708984375,2025-07-24,Medicine,2
11265,Wava O'Hara,wavaohara@university.edu,Chemistry,A+,3.20000000000000017763568394002504646778106689453125,2023-02-27,Engineering,3
11266,Molly Spencer,mollyspencer@university.edu,History,A-,0.440000000000000002220446049250313080847263336181640625,2023-03-22,Business,3
11267,Dr. Kendall Schmidt,dr.kendallschmidt@university.edu,English,A-,0.9699999999999999733546474089962430298328399658203125,2025-11-14,Law,1
11268,Bob Schulist,bobschulist@university.edu,Mathematics,C,1.439999999999999946709294817992486059665679931640625,2024-12-02,Business,3
11269,Isreal Ullrich,isrealullrich@university.edu,Mathematics,B-,0.939999999999999946709294817992486059665679931640625,2024-12-31,Law,4
11270,Mr. Rosalyn Hodkiewicz,mr.rosalynhodkiewicz@university.edu,Economics,C,2.5,2025-05-20,Engineering,2
11271,Rose Klocko,roseklocko@university.edu,Physics,B-,1.649999999999999911182158029987476766109466552734375,2024-04-03,Medicine,3
11272,Ladawn Gislason,ladawngislason@university.edu,Economics,C+,0.4899999999999999911182158029987476766109466552734375,2022-12-11,Business,4
11273,Marine Jenkins,marinejenkins@university.edu,English,F,1.0900000000000000799360577730112709105014801025390625,2025-12-06,Engineering,3
11274,Curtis Tromp,curtistromp@university.edu,CS,F,1.29000000000000003552713678800500929355621337890625,2025-07-25,Medicine,2
11275,Ron Bogan,ronbogan@university.edu,CS,F,1.060000000000000053290705182007513940334320068359375,2024-11-17,Law,3
11276,Saran Koepp,sarankoepp@university.edu,History,B+,1.8600000000000000976996261670137755572795867919921875,2024-08-13,Business,1
11277,Brad Krajcik,bradkrajcik@university.edu,Chemistry,C,1.29000000000000003552713678800500929355621337890625,2023-08-01,Business,4
11278,Cary Yost,caryyost@university.edu,Chemistry,C-,2.160000000000000142108547152020037174224853515625,2023-03-03,Engineering,1
11279,Mr. Trenton Okuneva,mr.trentonokuneva@university.edu,Mathematics,F,0.419999999999999984456877655247808434069156646728515625,2024-06-27,Business,3
11280,Mr. Patrica Aufderhar,mr.patricaaufderhar@university.edu,Chemistry,A+,2.04999999999999982236431605997495353221893310546875,2024-04-13,Medicine,4
11281,Phillis Little,phillislittle@university.edu,Biology,B+,3.95000000000000017763568394002504646778106689453125,2022-09-24,Science,3
11282,Mi Prosacco,miprosacco@university.edu,Economics,B,3.810000000000000053290705182007513940334320068359375,2024-09-03,Law,4
11283,Miss Caprice Pouros,misscapricepouros@university.edu,Mathematics,C,3.279999999999999804600747665972448885440826416015625,2022-11-24,Business,2
11284,Lance Crist,lancecrist@university.edu,Biology,C+,0.56999999999999995115018691649311222136020660400390625,2023-11-22,Law,4
11285,Miss Terrance D'Amore,missterrancedamore@university.edu,Biology,B-,0.36999999999999999555910790149937383830547332763671875,2024-03-18,Engineering,3
11286,Julio Hill Sr.,juliohillsr.@university.edu,Physics,A+,2.899999999999999911182158029987476766109466552734375,2026-03-06,Business,3
11287,Julene Bins,julenebins@university.edu,History,A,2.810000000000000053290705182007513940334320068359375,2023-04-02,Medicine,1
11288,Wesley Koepp,wesleykoepp@university.edu,CS,C-,3.12000000000000010658141036401502788066864013671875,2025-10-01,Law,1
11289,Candie Block,candieblock@university.edu,Mathematics,C,3.0800000000000000710542735760100185871124267578125,2023-12-08,Science,4
11290,Salvador Greenholt,salvadorgreenholt@university.edu,English,B+,1.62000000000000010658141036401502788066864013671875,2026-01-25,Science,4
11291,Terisa Leannon Jr.,terisaleannonjr.@university.edu,Biology,A-,3.12000000000000010658141036401502788066864013671875,2024-05-04,Medicine,1
11292,Ty Schneider,tyschneider@university.edu,Mathematics,A-,2.060000000000000053290705182007513940334320068359375,2023-02-11,Engineering,3
11293,Tyra Braun,tyrabraun@university.edu,Biology,C,0.770000000000000017763568394002504646778106689453125,2026-07-01,Law,4
11294,Graham Reynolds,grahamreynolds@university.edu,Biology,A+,2.720000000000000195399252334027551114559173583984375,2025-05-01,Engineering,2
11295,Edie Aufderhar,edieaufderhar@university.edu,Chemistry,B-,1.25,2025-02-27,Arts,3
11296,Jaime Pollich,jaimepollich@university.edu,Biology,A+,1.4899999999999999911182158029987476766109466552734375,2022-11-12,Science,1
11297,Anton Ledner,antonledner@university.edu,Chemistry,B-,3.310000000000000053290705182007513940334320068359375,2024-12-04,Law,1
11298,Mr. Joan King,mr.joanking@university.edu,History,C-,2.7599999999999997868371792719699442386627197265625,2022-09-24,Arts,3
11299,Eldon Morissette,eldonmorissette@university.edu,Mathematics,B+,3.45999999999999996447286321199499070644378662109375,2024-04-16,Medicine,3
11300,Rusty Wisozk,rustywisozk@university.edu,CS,B,2.7599999999999997868371792719699442386627197265625,2024-02-24,Engineering,3
11301,Leanora Stamm,leanorastamm@university.edu,English,F,1.350000000000000088817841970012523233890533447265625,2024-06-19,Arts,1
11302,Mrs. Guadalupe Ferry,mrs.guadalupeferry@university.edu,History,A,0.05000000000000000277555756156289135105907917022705078125,2022-12-15,Medicine,3
11303,Silas Ruecker,silasruecker@university.edu,CS,C-,1.9899999999999999911182158029987476766109466552734375,2025-03-21,Business,2
11304,Miss Cassandra Schiller,misscassandraschiller@university.edu,Economics,D,3.1699999999999999289457264239899814128875732421875,2025-03-03,Engineering,2
11305,Syreeta Schinner,syreetaschinner@university.edu,Chemistry,B+,3.779999999999999804600747665972448885440826416015625,2026-07-07,Law,3
11306,Patrick Dicki,patrickdicki@university.edu,Mathematics,B-,1.939999999999999946709294817992486059665679931640625,2023-08-15,Medicine,3
11307,Miss Wilburn Lemke,misswilburnlemke@university.edu,Economics,A+,2.75,2025-01-29,Science,3
11308,Evelyne Denesik,evelynedenesik@university.edu,Chemistry,D,3.8300000000000000710542735760100185871124267578125,2025-11-06,Law,1
11309,Ronald Block,ronaldblock@university.edu,Economics,D,1.770000000000000017763568394002504646778106689453125,2023-11-11,Science,2
11310,Kirby Walter,kirbywalter@university.edu,Biology,A+,1.1599999999999999200639422269887290894985198974609375,2023-04-27,Arts,1
11311,Cory Hegmann,coryhegmann@university.edu,CS,D,1.649999999999999911182158029987476766109466552734375,2023-04-23,Medicine,1
11312,Armando Hermann,armandohermann@university.edu,English,A+,1.54000000000000003552713678800500929355621337890625,2026-01-09,Business,4
11313,Shawanna Boyle,shawannaboyle@university.edu,Mathematics,B-,1.020000000000000017763568394002504646778106689453125,2024-01-21,Law,3
11314,Liane Armstrong,lianearmstrong@university.edu,History,C,2.589999999999999857891452847979962825775146484375,2023-05-30,Engineering,3
11315,Candice Bins PhD,candicebinsphd@university.edu,Chemistry,B-,2.970000000000000195399252334027551114559173583984375,2023-05-25,Engineering,3
11316,Dr. Quentin Murphy,dr.quentinmurphy@university.edu,Physics,C-,1.3600000000000000976996261670137755572795867919921875,2024-07-14,Business,1
11317,Arlen Gislason Jr.,arlengislasonjr.@university.edu,Chemistry,A,1.45999999999999996447286321199499070644378662109375,2025-07-07,Business,4
11318,Love Dickinson IV,lovedickinsoniv@university.edu,Chemistry,D,2.0800000000000000710542735760100185871124267578125,2023-10-25,Business,4
11319,Ken Walsh III,kenwalshiii@university.edu,Mathematics,A-,2.70999999999999996447286321199499070644378662109375,2024-11-12,Medicine,4
11320,Reyes Stokes,reyesstokes@university.edu,English,D,0.34999999999999997779553950749686919152736663818359375,2026-01-16,Medicine,4
11321,Isiah Doyle,isiahdoyle@university.edu,Biology,B,0.179999999999999993338661852249060757458209991455078125,2025-07-11,Law,1
11322,Kathryne Jerde,kathrynejerde@university.edu,Physics,C-,0.6999999999999999555910790149937383830547332763671875,2025-09-27,Business,2
11323,Felice Parker,feliceparker@university.edu,CS,C+,1.3899999999999999023003738329862244427204132080078125,2024-01-29,Engineering,2
11324,Arlena Stehr,arlenastehr@university.edu,CS,D,1.6699999999999999289457264239899814128875732421875,2026-08-13,Law,2
11325,Dr. Millard Kuphal,dr.millardkuphal@university.edu,Economics,A+,3.319999999999999840127884453977458178997039794921875,2025-10-12,Science,2
11326,Vernita Harber,vernitaharber@university.edu,Chemistry,C+,1.0900000000000000799360577730112709105014801025390625,2023-01-02,Science,1
11327,Carrol Hayes,carrolhayes@university.edu,Economics,A-,3.089999999999999857891452847979962825775146484375,2026-01-17,Law,1
11328,Michale Beatty,michalebeatty@university.edu,History,A,2.1699999999999999289457264239899814128875732421875,2026-06-30,Business,1
11329,Gerry Cartwright PhD,gerrycartwrightphd@university.edu,CS,F,3.140000000000000124344978758017532527446746826171875,2023-11-08,Arts,3
11330,Salvador Krajcik IV,salvadorkrajcikiv@university.edu,Biology,F,3.7400000000000002131628207280300557613372802734375,2024-03-20,Arts,2
11331,Vincent Rempel DDS,vincentrempeldds@university.edu,History,A,0.340000000000000024424906541753443889319896697998046875,2024-11-18,Science,4
11332,Virgil Raynor,virgilraynor@university.edu,Biology,A-,3.37999999999999989341858963598497211933135986328125,2023-07-04,Business,1
11333,Mrs. Asley Glover,mrs.asleyglover@university.edu,History,B,2.62999999999999989341858963598497211933135986328125,2026-08-20,Business,1
11334,Mrs. Valentine Heaney,mrs.valentineheaney@university.edu,History,C,2.54999999999999982236431605997495353221893310546875,2025-04-08,Business,2
11335,Garth Dibbert,garthdibbert@university.edu,Biology,B,1.350000000000000088817841970012523233890533447265625,2026-01-24,Law,1
11336,Yolande Douglas,yolandedouglas@university.edu,History,C-,0.299999999999999988897769753748434595763683319091796875,2025-01-23,Engineering,1
11337,Raphael Kris,raphaelkris@university.edu,Mathematics,A,1.229999999999999982236431605997495353221893310546875,2026-02-20,Medicine,1
11338,Monique Grant V,moniquegrantv@university.edu,Chemistry,C,0.35999999999999998667732370449812151491641998291015625,2024-12-25,Engineering,4
11339,Deloise Hintz III,deloisehintziii@university.edu,English,B-,3.600000000000000088817841970012523233890533447265625,2024-08-23,Engineering,3
11340,Louisa Bartoletti,louisabartoletti@university.edu,Mathematics,A+,0.0299999999999999988897769753748434595763683319091796875,2023-08-23,Science,1
11341,Ms. Barton Corkery,ms.bartoncorkery@university.edu,CS,F,1.0500000000000000444089209850062616169452667236328125,2023-03-24,Science,1
11342,Mr. Dominique Rutherford,mr.dominiquerutherford@university.edu,History,C-,3.4900000000000002131628207280300557613372802734375,2025-07-06,Engineering,1
11343,Buck Abernathy,buckabernathy@university.edu,History,C-,1.3600000000000000976996261670137755572795867919921875,2026-05-17,Science,1
11344,Will Williamson Jr.,willwilliamsonjr.@university.edu,Economics,C+,3.609999999999999875655021241982467472553253173828125,2025-04-03,Engineering,3
11345,Elva Schaden IV,elvaschadeniv@university.edu,Biology,F,0.61999999999999999555910790149937383830547332763671875,2025-09-11,Engineering,3
11346,Lynnette Bradtke,lynnettebradtke@university.edu,History,A+,1.8899999999999999023003738329862244427204132080078125,2025-03-06,Arts,3
11347,Jan Skiles,janskiles@university.edu,Chemistry,A+,0.770000000000000017763568394002504646778106689453125,2026-06-18,Arts,4
11348,Clyde Ziemann,clydeziemann@university.edu,History,C-,1.2399999999999999911182158029987476766109466552734375,2026-09-02,Science,3
11349,Francine Zemlak DVM,francinezemlakdvm@university.edu,History,A+,1.770000000000000017763568394002504646778106689453125,2026-04-13,Business,3
11350,Lyle Heidenreich,lyleheidenreich@university.edu,Economics,C+,0.88000000000000000444089209850062616169452667236328125,2024-12-18,Arts,3
11351,Tessa Nicolas,tessanicolas@university.edu,English,C+,1.729999999999999982236431605997495353221893310546875,2025-02-14,Science,1
11352,Myra Block,myrablock@university.edu,Biology,D,3.859999999999999875655021241982467472553253173828125,2025-10-23,Arts,1
11353,Hayden Lindgren,haydenlindgren@university.edu,Mathematics,C-,0.84999999999999997779553950749686919152736663818359375,2026-03-22,Science,2
11354,Salvador Bogisich,salvadorbogisich@university.edu,CS,B+,2.75,2023-04-25,Engineering,1
11355,Sparkle Balistreri DDS,sparklebalistreridds@university.edu,Biology,B-,3.850000000000000088817841970012523233890533447265625,2023-06-15,Engineering,2
11356,Armanda Halvorson V,armandahalvorsonv@university.edu,Mathematics,B+,3.899999999999999911182158029987476766109466552734375,2023-08-14,Medicine,3
11357,Mickey Herman DDS,mickeyhermandds@university.edu,Chemistry,B-,2.600000000000000088817841970012523233890533447265625,2023-09-10,Arts,3
11358,August Carroll,augustcarroll@university.edu,English,A,1.5700000000000000621724893790087662637233734130859375,2022-10-04,Engineering,3
11359,Rhett Hilpert,rhetthilpert@university.edu,English,A-,1.350000000000000088817841970012523233890533447265625,2022-12-27,Engineering,2
11360,Mrs. France Green,mrs.francegreen@university.edu,Chemistry,F,2.9199999999999999289457264239899814128875732421875,2025-11-23,Business,2
11361,Mertie Bradtke,mertiebradtke@university.edu,History,C+,1.229999999999999982236431605997495353221893310546875,2023-12-19,Engineering,3
11362,Anibal Windler V,anibalwindlerv@university.edu,Economics,D,0.810000000000000053290705182007513940334320068359375,2025-08-09,Science,4
11363,Virgil Schamberger,virgilschamberger@university.edu,English,C+,2.189999999999999946709294817992486059665679931640625,2024-12-09,Arts,1
11364,Miss Phillip Rau,missphilliprau@university.edu,History,A+,0.939999999999999946709294817992486059665679931640625,2025-12-17,Science,1
11365,Luis Konopelski DVM,luiskonopelskidvm@university.edu,Biology,B+,2.890000000000000124344978758017532527446746826171875,2026-06-13,Medicine,1
11366,Bryon Hackett,bryonhackett@university.edu,Chemistry,A,0.5500000000000000444089209850062616169452667236328125,2025-10-20,Arts,2
11367,Trisha Dooley,trishadooley@university.edu,History,F,2.04000000000000003552713678800500929355621337890625,2025-06-16,Business,2
11368,Tony Schuster,tonyschuster@university.edu,Physics,A-,3.0800000000000000710542735760100185871124267578125,2025-08-01,Science,4
11369,Albert Hill,alberthill@university.edu,Physics,C,1.0800000000000000710542735760100185871124267578125,2024-06-17,Law,2
11370,Paul Strosin,paulstrosin@university.edu,Biology,C+,2.680000000000000159872115546022541821002960205078125,2023-06-26,Science,4
11371,Ms. Abdul Waters,ms.abdulwaters@university.edu,CS,C,3.160000000000000142108547152020037174224853515625,2025-07-13,Arts,4
11372,Carry Hermann,carryhermann@university.edu,Chemistry,B+,1.5100000000000000088817841970012523233890533447265625,2024-01-16,Law,4
11373,Eugena Walker,eugenawalker@university.edu,English,A-,0.729999999999999982236431605997495353221893310546875,2026-06-13,Medicine,3
11374,Timika Kunze,timikakunze@university.edu,Chemistry,A,0.61999999999999999555910790149937383830547332763671875,2022-12-23,Science,1
11375,Dorian Ullrich,dorianullrich@university.edu,History,A+,1.4099999999999999200639422269887290894985198974609375,2025-01-23,Business,4
11376,Miss Allyson Lang,missallysonlang@university.edu,Economics,D,2.850000000000000088817841970012523233890533447265625,2024-12-26,Business,2
11377,Melania Prohaska Jr.,melaniaprohaskajr.@university.edu,English,D,3,2026-05-29,Business,1
11378,Argentina Turcotte,argentinaturcotte@university.edu,Economics,A-,1.3000000000000000444089209850062616169452667236328125,2026-08-20,Science,2
11379,Myrtice Oberbrunner,myrticeoberbrunner@university.edu,English,B+,3.4199999999999999289457264239899814128875732421875,2025-02-19,Science,1
11380,Oren Thompson,orenthompson@university.edu,English,C+,3.569999999999999840127884453977458178997039794921875,2023-05-19,Arts,3
11381,Mercedez Powlowski,mercedezpowlowski@university.edu,History,A-,3.910000000000000142108547152020037174224853515625,2026-08-23,Medicine,2
11382,Dominique Toy DVM,dominiquetoydvm@university.edu,Mathematics,C-,3.109999999999999875655021241982467472553253173828125,2026-01-18,Science,3
11383,Markus Schumm,markusschumm@university.edu,Economics,B+,0.6999999999999999555910790149937383830547332763671875,2025-08-01,Engineering,4
11384,Dyan O'Kon III,dyanokoniii@university.edu,Physics,D,3.12000000000000010658141036401502788066864013671875,2023-09-20,Engineering,1
11385,Will Terry DVM,willterrydvm@university.edu,Mathematics,B+,0.7399999999999999911182158029987476766109466552734375,2023-02-07,Arts,4
11386,Fred Klein DDS,fredkleindds@university.edu,Physics,B+,0.409999999999999975575093458246556110680103302001953125,2024-04-04,Law,2
11387,Ivory McDermott DDS,ivorymcdermottdds@university.edu,CS,F,3.410000000000000142108547152020037174224853515625,2026-04-05,Arts,2
11388,Jeffrey Berge,jeffreyberge@university.edu,Economics,A-,2.29999999999999982236431605997495353221893310546875,2026-05-29,Science,4
11389,Tarra Kuhic,tarrakuhic@university.edu,History,C+,0.39000000000000001332267629550187848508358001708984375,2026-08-02,Science,4
11390,Rebbeca Becker,rebbecabecker@university.edu,English,F,0.35999999999999998667732370449812151491641998291015625,2024-03-03,Medicine,1
11391,Deonna Kuhic,deonnakuhic@university.edu,Economics,A,3.140000000000000124344978758017532527446746826171875,2026-02-06,Medicine,3
11392,Dr. Hipolito Sipes,dr.hipolitosipes@university.edu,English,C,3.339999999999999857891452847979962825775146484375,2024-10-16,Engineering,1
11393,Margo Prosacco PhD,margoprosaccophd@university.edu,CS,F,0.729999999999999982236431605997495353221893310546875,2025-05-12,Engineering,2
11394,Winter Bartoletti,winterbartoletti@university.edu,Mathematics,B-,2.160000000000000142108547152020037174224853515625,2024-11-30,Engineering,1
11395,Antoine Lindgren,antoinelindgren@university.edu,English,D,3.569999999999999840127884453977458178997039794921875,2025-10-19,Arts,1
11396,Tyler Schimmel,tylerschimmel@university.edu,Biology,B+,1.04000000000000003552713678800500929355621337890625,2023-11-01,Engineering,3
11397,Dennis Beatty,dennisbeatty@university.edu,History,D,2.319999999999999840127884453977458178997039794921875,2026-05-10,Law,4
11398,Marcelle Bosco,marcellebosco@university.edu,Biology,B+,0.05000000000000000277555756156289135105907917022705078125,2026-08-27,Engineering,2
11399,Ariel Sauer,arielsauer@university.edu,Physics,F,1.1699999999999999289457264239899814128875732421875,2026-08-12,Engineering,1
11400,Micheal Thiel,michealthiel@university.edu,English,A-,2.609999999999999875655021241982467472553253173828125,2025-07-03,Business,2
11401,Kathleen Rice,kathleenrice@university.edu,Biology,A+,0.979999999999999982236431605997495353221893310546875,2023-09-19,Business,3
11402,Keva Wehner,kevawehner@university.edu,Biology,A,2.819999999999999840127884453977458178997039794921875,2022-12-17,Business,3
11403,Gay Grimes,gaygrimes@university.edu,History,F,1.310000000000000053290705182007513940334320068359375,2024-06-09,Science,3
11404,Broderick Stamm Sr.,broderickstammsr.@university.edu,History,D,2.560000000000000053290705182007513940334320068359375,2025-01-17,Medicine,3
11405,Rodger Bernier,rodgerbernier@university.edu,Chemistry,D,1.5300000000000000266453525910037569701671600341796875,2023-03-09,Arts,4
11406,Zane Collins,zanecollins@university.edu,Chemistry,C+,2.350000000000000088817841970012523233890533447265625,2022-10-27,Arts,3
11407,Ms. Luke Langworth,ms.lukelangworth@university.edu,Chemistry,F,0.5,2024-08-18,Science,4
11408,Josh Mertz,joshmertz@university.edu,English,C,2.319999999999999840127884453977458178997039794921875,2024-10-11,Arts,2
11409,Mrs. John Kris,mrs.johnkris@university.edu,Chemistry,B+,1.12000000000000010658141036401502788066864013671875,2025-10-12,Science,2
11410,Arden Goldner,ardengoldner@university.edu,CS,B,1.100000000000000088817841970012523233890533447265625,2024-09-29,Engineering,2
11411,Tanisha Hermiston,tanishahermiston@university.edu,Economics,B+,0.450000000000000011102230246251565404236316680908203125,2026-05-30,Engineering,1
11412,Alex Auer,alexauer@university.edu,Economics,B-,0.14000000000000001332267629550187848508358001708984375,2023-09-21,Science,3
11413,Isidro VonRueden PhD,isidrovonruedenphd@university.edu,Chemistry,F,1.9199999999999999289457264239899814128875732421875,2023-05-08,Arts,1
11414,Abby Terry,abbyterry@university.edu,English,A+,2.79000000000000003552713678800500929355621337890625,2023-07-14,Science,3
11415,Donetta Graham,donettagraham@university.edu,Chemistry,A-,1.8899999999999999023003738329862244427204132080078125,2025-03-30,Engineering,4
11416,Boris Leannon,borisleannon@university.edu,Biology,A,0.5100000000000000088817841970012523233890533447265625,2026-07-11,Medicine,1
11417,Estela Klein,estelaklein@university.edu,Physics,C-,3.689999999999999946709294817992486059665679931640625,2023-07-31,Engineering,1
11418,Vi Jacobi,vijacobi@university.edu,English,D,0.61999999999999999555910790149937383830547332763671875,2024-11-09,Medicine,2
11419,Xiao Rogahn,xiaorogahn@university.edu,Chemistry,F,2.529999999999999804600747665972448885440826416015625,2024-09-18,Arts,4
11420,Mickey Leannon,mickeyleannon@university.edu,Physics,C+,0.5,2026-05-16,Law,2
11421,Miss Armando Koepp,missarmandokoepp@university.edu,History,C,1.6999999999999999555910790149937383830547332763671875,2023-12-18,Arts,3
11422,Eloy Schaden DVM,eloyschadendvm@university.edu,Economics,D,0.2399999999999999911182158029987476766109466552734375,2025-01-20,Medicine,1
11423,Herschel Langosh,herschellangosh@university.edu,English,B+,0.419999999999999984456877655247808434069156646728515625,2025-04-17,Medicine,3
11424,Mrs. Anette Thompson,mrs.anettethompson@university.edu,CS,F,0.11999999999999999555910790149937383830547332763671875,2025-03-20,Law,3
11425,Wilson Greenfelder,wilsongreenfelder@university.edu,Economics,D,2.5,2026-04-02,Business,4
11426,Vance Gutkowski Sr.,vancegutkowskisr.@university.edu,CS,D,3.439999999999999946709294817992486059665679931640625,2025-01-17,Medicine,1
